Index,Time,(Gimbal_Control).pitch_position_ref,(Gimbal_Control).present_mode,(Gimbal_Control).last_mode,(AutoAim_Control).armor_pitch,(MiniPC_Data).is_get_target,(AutoAim_Control).hit_mode
395,0.395095,-8.06098652,0,0,-7.1500001,1,0
396,0.396106,-8.07398605,0,0,-7.1500001,1,0
397,0.397093,-8.08698559,0,0,-7.1500001,1,0
398,0.398104,-8.09998512,0,0,-7.1500001,1,0
399,0.399095,-8.11298466,0,0,-7.1500001,1,0
400,0.400107,-8.12598419,0,0,-7.1500001,1,0
401,0.401090,-8.13898373,0,0,-7.1500001,1,0
402,0.402109,-8.15198326,0,0,-7.1500001,1,0
403,0.403093,-8.1649828,0,0,-7.1500001,1,0
404,0.404115,-8.17798233,0,0,-7.1500001,1,0
405,0.405107,-8.19098186,0,0,-7.1500001,1,0
406,0.406104,-8.2039814,0,0,-7.1500001,1,0
407,0.407099,-8.21698093,0,0,-7.1500001,1,0
408,0.408102,-8.22998047,0,0,-7.1500001,1,0
409,0.409093,-8.24298,0,0,-7.1500001,1,0
410,0.410105,-8.25597954,0,0,-7.1500001,1,0
411,0.411096,-8.26897907,0,0,-7.1500001,1,0
412,0.412107,-8.28197861,0,0,-7.1500001,1,0
413,0.413091,-8.29497814,0,0,-7.1500001,1,0
414,0.414102,-8.30797768,0,0,-7.1500001,1,0
415,0.415093,-8.32097721,0,0,-7.1500001,1,0
416,0.416104,-8.33397675,0,0,-7.1500001,1,0
417,0.417112,-8.34697628,0,0,-7.1500001,1,0
418,0.418095,-8.35997581,0,0,-7.1500001,1,0
419,0.419106,-8.37297535,0,0,-7.1500001,1,0
420,0.420090,-8.38597488,0,0,-7.1500001,1,0
421,0.421281,-8.39897442,0,0,-7.1500001,1,0
422,0.422002,-8.41197395,0,0,-7.1500001,1,0
423,0.423102,-8.42497349,0,0,-7.1500001,1,0
424,0.424093,-8.43797302,0,0,-7.1500001,1,0
425,0.425105,-8.45097256,0,0,-7.1500001,1,0
426,0.426120,-8.46397209,0,0,-7.1500001,1,0
427,0.427109,-8.47697163,0,0,-7.1500001,1,0
428,0.428106,-8.48997116,0,0,-7.1500001,1,0
429,0.429089,-8.5029707,0,0,-7.1500001,1,0
430,0.430108,-8.51597023,0,0,-7.1500001,1,0
431,0.431092,-8.52896976,0,0,-7.1500001,1,0
432,0.432103,-8.5419693,0,0,-7.1500001,1,0
433,0.433094,-8.55496883,0,0,-7.1500001,1,0
434,0.434105,-8.56796837,0,0,-7.1500001,1,0
435,0.435089,-8.5809679,0,0,-7.1500001,1,0
436,0.436108,-8.59996796,0,0,-7.1500001,1,0
437,0.437123,-8.61896801,0,0,-7.1500001,1,0
438,0.438105,-8.63796806,0,0,-7.1500001,1,0
439,0.439109,-8.65696812,0,0,-7.1500001,1,0
440,0.440093,-8.67596817,0,0,-7.1500001,1,0
441,0.441104,-8.69496822,0,0,-7.1500001,1,0
442,0.442095,-8.71396828,0,0,-7.1500001,1,0
443,0.443107,-8.73296833,0,0,-7.1500001,1,0
444,0.444090,-8.75196838,0,0,-7.1500001,1,0
445,0.445109,-8.77096844,0,0,-7.1500001,1,0
446,0.446093,-8.78996849,0,0,-7.1500001,1,0
447,0.447107,-8.80896854,0,0,-7.1500001,1,0
