Index,Time,((Motor_shooterMotorLeft).encoder).speed,((Shoot_Control).shoot_speed).referee_bullet_speed[0],((Shoot_Control).shoot_left).fdb,((Shoot_Control).shoot_right).fdb,((Motor_shooterMotorRight).encoder).speed,shoot_diff_tick
298,0.298093,0,29.6499996,0,0,0,47
299,0.299086,0,29.6499996,0,0,0,47
300,0.300087,0,29.6499996,0,0,0,47
301,0.301085,0,29.6499996,0,0,0,47
302,0.302087,0,29.6499996,0,0,0,47
303,0.303085,0,29.6499996,0,0,0,47
304,0.304086,0,29.6499996,0,0,0,47
305,0.305093,0,29.6499996,0,0,0,47
306,0.306110,0,29.6499996,0,0,0,47
307,0.307105,0,29.6499996,0,0,0,47
308,0.308085,0,29.6499996,0,0,0,47
309,0.309090,0,29.6499996,0,0,0,47
310,0.310088,0,29.6499996,0,0,0,47
311,0.311090,0,29.6499996,0,0,0,47
312,0.312088,0,29.6499996,0,0,0,47
313,0.313089,0,29.6499996,0,0,0,47
314,0.314087,0,29.6499996,0,0,0,47
315,0.315088,0,29.6499996,0,0,0,47
316,0.316086,0,29.6499996,0,0,0,47
317,0.317088,0,29.6499996,0,0,0,47
318,0.318110,0,29.6499996,0,0,0,47
319,0.319104,0,29.6499996,0,0,0,47
320,0.320118,0,29.6499996,0,0,0,47
321,0.321106,0,29.6499996,0,0,0,47
322,0.322086,0,29.6499996,0,0,0,47
323,0.323088,0,29.6499996,0,0,0,47
324,0.324086,0,29.6499996,0,0,0,47
325,0.325088,0,29.6499996,0,0,0,47
326,0.326086,0,29.6499996,0,0,0,47
327,0.327088,0,29.6499996,0,0,0,47
328,0.328087,0,29.6499996,0,0,0,47
329,0.329092,0,29.6499996,0,0,0,47
330,0.330115,0,29.6499996,0,0,0,47
331,0.331105,0,29.6499996,0,0,0,47
332,0.332085,0,29.6499996,0,0,0,47
333,0.333087,0,29.6499996,0,0,0,47
334,0.334086,0,29.6499996,0,0,0,47
335,0.335088,0,29.6499996,0,0,0,47
336,0.336087,0,29.6499996,0,0,0,47
337,0.337089,0,29.6499996,0,0,0,47
338,0.338087,0,29.6499996,0,0,0,47
339,0.339092,0,29.6499996,0,0,0,47
340,0.340090,0,29.6499996,0,0,0,47
341,0.341092,0,29.6499996,0,0,0,47
342,0.342134,0,29.6499996,0,0,0,47
343,0.343091,0,29.6499996,0,0,0,47
344,0.344092,0,29.6499996,0,0,0,47
345,0.345085,0,29.6499996,0,0,0,47
346,0.346093,0,29.6499996,0,0,0,47
347,0.347086,0,29.6499996,0,0,0,47
348,0.348093,0,29.6499996,0,0,0,47
349,0.349089,0,29.6499996,0,0,0,47
350,0.350087,0,29.6499996,0,0,0,47
351,0.351090,0,29.6499996,0,0,0,47
352,0.352088,0,29.6499996,0,0,0,47
353,0.353090,0,29.6499996,0,0,0,47
354,0.354101,0,29.6499996,0,0,0,47
355,0.355090,0,29.6499996,0,0,0,47
356,0.356092,0,29.6499996,0,0,0,47
357,0.357090,0,29.6499996,0,0,0,47
358,0.358091,0,29.6499996,0,0,0,47
359,0.359092,0,29.6499996,0,0,0,47
360,0.360093,0,29.6499996,0,0,0,47
361,0.361091,0,29.6499996,0,0,0,47
362,0.362093,0,29.6499996,0,0,0,47
363,0.363091,0,29.6499996,0,0,0,47
364,0.364092,0,29.6499996,0,0,0,47
365,0.365100,0,29.6499996,0,0,0,47
366,0.366089,0,29.6499996,0,0,0,47
367,0.367091,0,29.6499996,0,0,0,47
368,0.368089,0,29.6499996,0,0,0,47
369,0.369093,0,29.6499996,0,0,0,47
370,0.370091,0,29.6499996,0,0,0,47
371,0.371092,0,29.6499996,0,0,0,47
372,0.372091,0,29.6499996,0,0,0,47
373,0.373092,0,29.6499996,0,0,0,47
374,0.374090,0,29.6499996,0,0,0,47
375,0.375091,0,29.6499996,0,0,0,47
376,0.376122,0,29.6499996,0,0,0,47
377,0.377088,0,29.6499996,0,0,0,47
378,0.378102,0,29.6499996,0,0,0,47
379,0.379086,0,29.6499996,0,0,0,47
380,0.380088,0,29.6499996,0,0,0,47
381,0.381086,0,29.6499996,0,0,0,47
382,0.382087,0,29.6499996,0,0,0,47
383,0.383085,0,29.6499996,0,0,0,47
384,0.384087,0,29.6499996,0,0,0,47
385,0.385108,0,29.6499996,0,0,0,47
386,0.386088,0,29.6499996,0,0,0,47
387,0.387090,0,29.6499996,0,0,0,47
388,0.388106,0,29.6499996,0,0,0,47
389,0.389089,0,29.6499996,0,0,0,47
390,0.390091,0,29.6499996,0,0,0,47
391,0.391089,0,29.6499996,0,0,0,47
392,0.392091,0,29.6499996,0,0,0,47
393,0.393089,0,29.6499996,0,0,0,47
394,0.394091,0,29.6499996,0,0,0,47
395,0.395090,0,29.6499996,0,0,0,47
396,0.396091,0,29.6499996,0,0,0,47
397,0.397090,0,29.6499996,0,0,0,47
398,0.398116,0,29.6499996,0,0,0,47
399,0.399105,0,29.6499996,0,0,0,47
400,0.400085,0,29.6499996,0,0,0,47
401,0.401088,0,29.6499996,0,0,0,47
402,0.402086,0,29.6499996,0,0,0,47
403,0.403088,0,29.6499996,0,0,0,47
404,0.404086,0,29.6499996,0,0,0,47
405,0.405088,0,29.6499996,0,0,0,47
406,0.406087,0,29.6499996,0,0,0,47
407,0.407089,0,29.6499996,0,0,0,47
408,0.408088,0,29.6499996,0,0,0,47
409,0.409092,0,29.6499996,0,0,0,47
410,0.410152,0,29.6499996,0,0,0,47
411,0.411085,0,29.6499996,0,0,0,47
412,0.412087,0,29.6499996,0,0,0,47
413,0.413089,0,29.6499996,0,0,0,47
414,0.414087,0,29.6499996,0,0,0,47
415,0.415089,0,29.6499996,0,0,0,47
416,0.416088,0,29.6499996,0,0,0,47
417,0.417089,0,29.6499996,0,0,0,47
418,0.418088,0,29.6499996,0,0,0,47
419,0.419093,0,29.6499996,0,0,0,47
420,0.420091,0,29.6499996,0,0,0,47
421,0.421162,0,29.6499996,0,0,0,47
422,0.422092,0,29.6499996,0,0,0,47
423,0.423093,0,29.6499996,0,0,0,47
424,0.424085,0,29.6499996,0,0,0,47
425,0.425092,0,29.6499996,0,0,0,47
426,0.426093,0,29.6499996,0,0,0,47
427,0.427091,0,29.6499996,0,0,0,47
428,0.428093,0,29.6499996,0,0,0,47
429,0.429085,0,29.6499996,0,0,0,47
430,0.430086,0,29.6499996,0,0,0,47
431,0.431305,0,29.6499996,0,0,0,47
432,0.432087,0,29.6499996,0,0,0,47
433,0.433089,0,29.6499996,0,0,0,47
434,0.434108,0,29.6499996,0,0,0,47
435,0.435088,0,29.6499996,0,0,0,47
436,0.436089,0,29.6499996,0,0,0,47
437,0.437087,0,29.6499996,0,0,0,47
438,0.438089,0,29.6499996,0,0,0,47
439,0.439090,0,29.6499996,0,0,0,47
440,0.440091,0,29.6499996,0,0,0,47
441,0.441089,0,29.6499996,0,0,0,47
442,0.442090,0,29.6499996,0,0,0,47
443,0.443088,0,29.6499996,0,0,0,47
444,0.444090,0,29.6499996,0,0,0,47
445,0.445106,0,29.6499996,0,0,0,47
446,0.446086,0,29.6499996,0,0,0,47
447,0.447088,0,29.6499996,0,0,0,47
448,0.448086,0,29.6499996,0,0,0,47
449,0.449090,0,29.6499996,0,0,0,47
450,0.450088,0,29.6499996,0,0,0,47
451,0.451090,0,29.6499996,0,0,0,47
452,0.452088,0,29.6499996,0,0,0,47
453,0.453089,0,29.6499996,0,0,0,47
454,0.454087,0,29.6499996,0,0,0,47
455,0.455089,0,29.6499996,0,0,0,47
456,0.456105,0,29.6499996,0,0,0,47
457,0.457085,0,29.6499996,0,0,0,47
458,0.458087,0,29.6499996,0,0,0,47
