Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
7474,7.474107,1,-5292,-1634,1100.72925
7475,7.475091,1,-5292,-1634,1100.72925
7476,7.476088,1,-5292,-1634,1100.72925
7477,7.477089,1,-5292,-1634,1100.72925
7478,7.478086,1,-5292,-1634,1100.72925
7479,7.479087,1,-5292,-1634,1100.72925
7480,7.480087,1,-5292,-1634,1100.72925
7481,7.481088,1,-5292,-1634,1100.72925
7482,7.482085,1,-5292,-1634,1100.72925
7483,7.483087,1,-5292,-1634,1100.72925
7484,7.484103,1,-5292,-1634,1100.72925
7485,7.485085,1,-5292,-1634,1100.72925
7486,7.486089,1,-5292,-1634,1100.72925
7487,7.487090,1,-5292,-1634,1100.72925
7488,7.488086,1,-5292,-1634,1100.72925
7489,7.489087,1,-5292,-1634,1100.72925
7490,7.490086,1,-5292,-1634,1100.72925
7491,7.491087,1,-5281,-1631,1100.72925
7492,7.492092,1,-5281,-1631,1100.72925
7493,7.493093,1,-5281,-1631,1100.72925
7494,7.494102,1,-5281,-1631,1100.72925
7495,7.495088,1,-5281,-1631,1100.72925
7496,7.496100,1,-5281,-1631,1100.72925
7497,7.497092,1,-5281,-1631,1100.72925
7498,7.498088,1,-5281,-1631,1100.72925
7499,7.499089,1,-5281,-1631,1100.72925
7500,7.500088,1,-5281,-1631,1100.72925
7501,7.501089,1,-5281,-1631,1100.72925
7502,7.502085,1,-5281,-1631,1100.72925
7503,7.503086,1,-5281,-1631,1100.72925
7504,7.504091,1,-5281,-1631,1100.72925
7505,7.505091,1,-5281,-1631,1100.72925
7506,7.506088,1,-5281,-1631,1100.72925
7507,7.507101,1,-5281,-1631,1100.72925
7508,7.508093,1,-5281,-1631,1100.72925
7509,7.509089,1,-5281,-1631,1100.72925
7510,7.510093,1,-5281,-1631,1100.72925
7511,7.511089,1,-5281,-1631,1100.72925
7512,7.512090,1,-5281,-1631,1100.72925
7513,7.513086,1,-5281,-1631,1100.72925
7514,7.514087,1,-5281,-1631,1100.72925
7515,7.515092,1,-5281,-1631,1100.72925
7516,7.516148,1,-5281,-1631,1100.72925
7517,7.517086,1,-5598,-1595,1100.72925
