Index,Time,(GimbalYaw_Control).present_mode,(GimbalYaw_Control).last_mode,(GimbalYaw_Control).yaw_ref,(GimbalYaw_Control).yaw_position_fdb
39056,39.060387,1,1,0.0104719754,0.00727142207
39057,39.061385,1,1,0.0104719754,0.00727142207
39058,39.062388,1,1,0.0104719754,0.00727142207
39059,39.063387,1,1,0.0104719754,0.00727142207
39060,39.064398,1,1,0.0104719754,0.00728048757
39061,39.065386,1,1,0.0104719754,0.00728048757
39062,39.066384,1,1,0.0104719754,0.00728048757
39063,39.067387,1,1,0.0104719754,0.00728048757
39064,39.068386,1,1,0.0104719754,0.00729402248
39065,39.069388,1,1,0.0104719754,0.00729402248
39066,39.070387,1,1,0.0104719754,0.00729402248
39067,39.071382,1,1,0.0104719754,0.00730313547
39068,39.072389,1,1,0.0104719754,0.00730313547
39069,39.073384,1,1,0.0104719754,0.00730313547
39070,39.074401,1,1,0.0104719754,0.00730313547
39071,39.075387,1,1,0.0104719754,0.00730313547
39072,39.076385,1,1,0.0104719754,0.00733476458
39073,39.077387,1,1,0.0104719754,0.00733476458
39074,39.078385,1,1,0.0104719754,0.00733476458
39075,39.079387,1,1,0.0104719754,0.00733476458
39076,39.080385,1,1,0.0104719754,0.00734295463
39077,39.081387,1,1,0.0104719754,0.00734295463
39078,39.082385,1,1,0.0104719754,0.00734295463
39079,39.083387,1,1,0.0104719754,0.00733916881
39080,39.084388,1,1,0.0104719754,0.00733916881
39081,39.085398,1,1,0.0104719754,0.00733916881
39082,39.086385,1,1,0.0104719754,0.00733916881
39083,39.087383,1,1,0.0104719754,0.00733916881
39084,39.088385,1,1,0.0104719754,0.0073470897
39085,39.089383,1,1,0.0104719754,0.0073470897
39086,39.090385,1,1,0.0104719754,0.0073470897
39087,39.091383,1,1,0.0104719754,0.0073470897
39088,39.092385,1,1,0.0104719754,0.00733581651
39089,39.093383,1,1,0.0104719754,0.00733581651
39090,39.094388,1,1,0.0104719754,0.00733581651
39091,39.095451,1,1,0.0104719754,0.00733312918
39092,39.096387,1,1,0.0104719754,0.00733312918
39093,39.097389,1,1,0.0104719754,0.00733312918
39094,39.098387,1,1,0.0104719754,0.00733312918
39095,39.099404,1,1,0.0104719754,0.00733312918
39096,39.100383,1,1,0.0104719754,0.0073625166
39097,39.101388,1,1,0.0104719754,0.0073625166
39098,39.102383,1,1,0.0104719754,0.0073625166
39099,39.103388,1,1,0.0104719754,0.0073625166
39100,39.104386,1,1,0.0104719754,0.00737372972
39101,39.105384,1,1,0.0104719754,0.00737372972
39102,39.106403,1,1,0.0104719754,0.00737372972
39103,39.107389,1,1,0.0104719754,0.0073988568
39104,39.108387,1,1,0.0104719754,0.0073988568
39105,39.109382,1,1,0.0104719754,0.0073988568
39106,39.110414,1,1,0.0104719754,0.0073988568
39107,39.111389,1,1,0.0104719754,0.0073988568
39108,39.112384,1,1,0.0104719754,0.007417602
39109,39.113383,1,1,0.0104719754,0.007417602
39110,39.114389,1,1,0.0104719754,0.007417602
39111,39.115387,1,1,0.0104719754,0.007417602
39112,39.116403,1,1,0.0104719754,0.00743310666
39113,39.117386,1,1,0.0104719754,0.00743310666
39114,39.118389,1,1,0.0104719754,0.00743310666
39115,39.119388,1,1,0.0104719754,0.00746067427
39116,39.120383,1,1,0.0104719754,0.00746067427
39117,39.121389,1,1,0.0104719754,0.00746067427
39118,39.122384,1,1,0.0104719754,0.00746067427
39119,39.123383,1,1,0.0104719754,0.00746067427
39120,39.124389,1,1,0.0104719754,0.00744729629
39121,39.125387,1,1,0.0104719754,0.00744729629
39122,39.126382,1,1,0.0104719754,0.00744729629
39123,39.127402,1,1,0.0104719754,0.00744729629
39124,39.128382,1,1,0.0104719754,0.0074704024
39125,39.129388,1,1,0.0104719754,0.0074704024
39126,39.130384,1,1,0.0104719754,0.0074704024
39127,39.131382,1,1,0.0104719754,0.00748171331
39128,39.132385,1,1,0.0104719754,0.00748171331
39129,39.133384,1,1,0.0104719754,0.00748171331
39130,39.134382,1,1,0.0104719754,0.00748171331
39131,39.135388,1,1,0.0104719754,0.00748171331
39132,39.136383,1,1,0.0104719754,0.00751123112
39133,39.137400,1,1,0.0104719754,0.00751123112
39134,39.138388,1,1,0.0104719754,0.00751123112
39135,39.139385,1,1,0.0104719754,0.00751123112
39136,39.140387,1,1,0.0104719754,0.00749798771
39137,39.141384,1,1,0.0104719754,0.00749798771
39138,39.142386,1,1,0.0104719754,0.00749798771
39139,39.143384,1,1,0.0104719754,0.00751453126
39140,39.144389,1,1,0.0104719754,0.00751453126
39141,39.145387,1,1,0.0104719754,0.00751453126
39142,39.146389,1,1,0.0104719754,0.00751453126
39143,39.147404,1,1,0.0104719754,0.00751453126
39144,39.148382,1,1,0.0104719754,0.00753226085
39145,39.149388,1,1,0.0104719754,0.00753226085
39146,39.150382,1,1,0.0104719754,0.00753226085
39147,39.151388,1,1,0.0104719754,0.00753226085
39148,39.152382,1,1,0.0104719754,0.00753500732
39149,39.153388,1,1,0.0104719754,0.00753500732
39150,39.154385,1,1,0.0104719754,0.00753500732
39151,39.155383,1,1,0.0104719754,0.0075590862
39152,39.156385,1,1,0.0104719754,0.0075590862
39153,39.157383,1,1,0.0104719754,0.0075590862
39154,39.158454,1,1,0.0104719754,0.0075590862
39155,39.159388,1,1,0.0104719754,0.0075590862
39156,39.160382,1,1,0.0104719754,0.00756916543
39157,39.161388,1,1,0.0104719754,0.00756916543
39158,39.162383,1,1,0.0104719754,0.00756916543
39159,39.163388,1,1,0.0104719754,0.00756916543
39160,39.164386,1,1,0.0104719754,0.00758044655
39161,39.165383,1,1,0.0104719754,0.00758044655
39162,39.166386,1,1,0.0104719754,0.00758044655
39163,39.167383,1,1,0.0104719754,0.00756500708
39164,39.168403,1,1,0.0104719754,0.00756500708
39165,39.169382,1,1,0.0104719754,0.00756500708
39166,39.170440,1,1,0.0104719754,0.00756500708
39167,39.171419,1,1,0.0104719754,0.00756500708
39168,39.172387,1,1,0.0104719754,0.00757406419
39169,39.173382,1,1,0.0104719754,0.00757406419
39170,39.174383,1,1,0.0104719754,0.00757406419
39171,39.175386,1,1,0.0104719754,0.00757406419
39172,39.176385,1,1,0.0104719754,0.00757882325
39173,39.177388,1,1,0.0104719754,0.00757882325
39174,39.178410,1,1,0.0104719754,0.00757882325
39175,39.179401,1,1,0.0104719754,0.00756314583
39176,39.180389,1,1,0.0104719754,0.00756314583
39177,39.181387,1,1,0.0104719754,0.00756314583
39178,39.182382,1,1,0.0104719754,0.00756314583
39179,39.183389,1,1,0.0104719754,0.00756314583
39180,39.184387,1,1,0.0104719754,0.00757757016
39181,39.185386,1,1,0.0104719754,0.00757757016
39182,39.186388,1,1,0.0104719754,0.00757757016
39183,39.187387,1,1,0.0104719754,0.00757757016
39184,39.188382,1,1,0.0104719754,0.00758251082
39185,39.189388,1,1,0.0104719754,0.00758251082
39186,39.190400,1,1,0.0104719754,0.00758251082
39187,39.191387,1,1,0.0104719754,0.0075788754
39188,39.192386,1,1,0.0104719754,0.0075788754
39189,39.193389,1,1,0.0104719754,0.0075788754
39190,39.194382,1,1,0.0104719754,0.0075788754
39191,39.195385,1,1,0.0104719754,0.0075788754
39192,39.196384,1,1,0.0104719754,0.0075788754
39193,39.197387,1,1,0.0104719754,0.00759114837
39194,39.198385,1,1,0.0104719754,0.00759114837
39195,39.199388,1,1,0.0104719754,0.00759114837
39196,39.200387,1,1,0.0104719754,0.00759282289
39197,39.201400,1,1,0.0104719754,0.00759282289
39198,39.202388,1,1,0.0104719754,0.00759282289
39199,39.203386,1,1,0.0104719754,0.00760199875
39200,39.204384,1,1,0.0104719754,0.00760199875
39201,39.205389,1,1,0.0104719754,0.00760199875
